trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-50.84917650742025,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'e': 0.25, 'a': 0.5}",20,11,17.362280268268723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'e': 0.1111111111111111, 'a': 0.5}",25,0,-52.41342495864283,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,False,"{'e': 0.0625, 'a': 0.5}",25,0,27.518360727073382,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,False,"{'e': 0.04, 'a': 0.5}",20,0,-30.992222600410486,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'e': 0.027777777777777776, 'a': 0.5}",20,0,-78.56204228306308,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
7,False,"{'e': 0.02040816326530612, 'a': 0.5}",20,0,-17.791162083511825,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,False,"{'e': 0.015625, 'a': 0.5}",25,0,-123.2821243222764,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 3}",0
9,False,"{'e': 0.012345679012345678, 'a': 0.5}",25,0,33.00123069075226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'e': 0.01, 'a': 0.5}",25,0,-22.70270596618849,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'e': 0.008264462809917356, 'a': 0.5}",25,3,-46.721643213546415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'e': 0.006944444444444444, 'a': 0.5}",25,0,34.73690292963686,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'e': 0.005917159763313609, 'a': 0.5}",25,14,0.254510082189233,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'e': 0.00510204081632653, 'a': 0.5}",20,16,4.9564307267824255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'e': 0.0044444444444444444, 'a': 0.5}",25,0,-10.46213701898509,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'e': 0.00390625, 'a': 0.5}",20,0,22.285860219227004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'e': 0.0034602076124567475, 'a': 0.5}",35,14,0.19532697067735771,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'e': 0.0030864197530864196, 'a': 0.5}",20,0,-4.383811758773225,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
19,False,"{'e': 0.002770083102493075, 'a': 0.5}",30,18,20.60217736827288,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': 0.0025, 'a': 0.5}",35,0,14.164000564670477,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",1
21,False,"{'e': 0.0022675736961451248, 'a': 0.5}",30,17,18.555481221066756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'e': 0.002066115702479339, 'a': 0.5}",25,16,14.180255619551271,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'e': 0.001890359168241966, 'a': 0.5}",20,12,12.017306730922066,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'e': 0.001736111111111111, 'a': 0.5}",25,5,12.611341060111814,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'e': 0.0016, 'a': 0.5}",35,10,41.28781344842126,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'e': 0.0014792899408284023, 'a': 0.5}",20,5,20.334140189413258,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'e': 0.0013717421124828531, 'a': 0.5}",20,16,6.313052367992622,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'e': 0.0012755102040816326, 'a': 0.5}",20,0,16.028577151434,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'e': 0.0011890606420927466, 'a': 0.5}",25,7,24.71893770092062,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'e': 0.0011111111111111111, 'a': 0.5}",20,0,28.787616773061952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'e': 0.001040582726326743, 'a': 0.5}",20,0,-26.217296144492288,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
32,False,"{'e': 0.0009765625, 'a': 0.5}",35,0,0.7896201540715895,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
33,False,"{'e': 0.0009182736455463728, 'a': 0.5}",20,8,17.573642500346644,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'e': 0.0008650519031141869, 'a': 0.5}",20,14,9.213230405448197,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'e': 0.0008163265306122449, 'a': 0.5}",30,20,17.757163907973638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
