trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.475, 'e': 0.9}",30,0,-82.50600594086647,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.46312499999999995, 'e': 0.855}",30,0,-92.71832945640162,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.45540624999999996, 'e': 0.8265}",20,0,-93.57835296260853,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.449713671875, 'e': 0.8058375}",20,0,-111.00928758779195,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.44521653515625, 'e': 0.78972075}",25,0,-81.17305913774047,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.44150639736328123, 'e': 0.7765587374999999}",25,0,-236.92215598159302,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.43835278023925783, 'e': 0.7654650412499999}",20,0,-121.64323675225687,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.4356130753627625, 'e': 0.7558967282343749}",20,0,-28.57687777351353,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.4331930027218583, 'e': 0.7474978756984375}",30,0,-151.49420475870082,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.431027037708249, 'e': 0.7400228969414532}",20,0,-61.293004763219315,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.42906782390048426, 'e': 0.7332954160601672}",20,7,-28.64868802729488,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.4272800413008989, 'e': 0.7271846209263325}",30,0,-144.90905801659108,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.4256366565266647, 'e': 0.721590893073053}",20,0,-102.57881105010239,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.42411652561049806, 'e': 0.7164366724082455}",30,0,-186.02000856693806,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.4227028038584631, 'e': 0.7116604279255239}",25,0,-155.25223409693666,"{0: 13, 1: 4, 2: 3, 3: 4, 4: 1}",0
16,False,"{'a': 0.4213818575964054, 'e': 0.7072125502509894}",20,0,-82.96430583602773,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.4201424991917101, 'e': 0.7030524764259836}",25,0,-97.4273191029879,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.41897543669395537, 'e': 0.6991466293347282}",25,0,-183.42469209500604,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
19,False,"{'a': 0.4178728697552871, 'e': 0.6954669102329664}",20,0,-16.021397866322356,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",25,0,-189.64373677695122,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
1,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",25,0,-58.420532696708634,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",20,0,-131.78213876384217,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",20,0,-74.94290998956815,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
4,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",25,0,-119.75738510756383,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",25,0,-132.53278327490943,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",20,0,-86.42752211834268,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
7,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",25,0,-135.86796921633177,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",25,0,-131.285440623702,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",20,0,-90.97390038190477,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
10,True,"{'a': 0.4168281875808989, 'e': 0.6919895756818015}",30,16,-126.65365430988959,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 2}",1
